Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;1;4937,5;6,491432935357954;3,215788930534778;.\originalGrayDataset;0200.png
;2;3533,5;4,0;1,632993161855452;.\originalGrayDataset;0200.png
;0;10899,0;15,25264168162566;6,391420426264332;.\originalGrayDataset;0201.png
;1;5585,5;3,23606797749979;1,23606797749979;.\originalGrayDataset;0201.png
;2;5208,5;32,20832104298377;5,282663778888596;.\originalGrayDataset;0201.png
;0;49475,0;9,445277051916207;2,889072759994986;.\originalGrayDataset;0202.png
;1;5457,0;29,346987469833056;8,73354603636197;.\originalGrayDataset;0202.png
;2;2129,5;3,265986323710904;2,0;.\originalGrayDataset;0202.png
;0;20644,0;4,807401700618652;2,309401076758502;.\originalGrayDataset;0204.png
;1;11853,5;6,707279387142534;2,585705437703217;.\originalGrayDataset;0204.png
;2;6475,0;6,756645901066988;3,100490653113416;.\originalGrayDataset;0204.png
;0;5307,5;3,265986323710904;2,0;.\originalGrayDataset;0205.png
;1;5097,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0205.png
;2;4805,5;15,21910837209142;4,894933402161672;.\originalGrayDataset;0205.png
;0;34755,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0206.png
;1;9438,5;4,680205767201096;1,046744465787899;.\originalGrayDataset;0206.png
;2;3165,0;5,033222956847167;2,905932629027116;.\originalGrayDataset;0206.png
;0;9493,5;6,465754045018948;2,970713002030358;.\originalGrayDataset;0207.png
;1;6562,0;5,545825004026145;2,289939960941863;.\originalGrayDataset;0207.png
;2;3721,0;7,517785243108301;2,110288899579035;.\originalGrayDataset;0207.png
;0;9485,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0210.png
;1;4733,5;19,954043326811032;4,526381468688427;.\originalGrayDataset;0210.png
;2;3859,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0210.png
;0;9528,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0212.png
;1;3290,5;2,0;2,0;.\originalGrayDataset;0212.png
;2;726,0;9,8969648544097;7,809775578895717;.\originalGrayDataset;0212.png
;0;34579,0;4,0;1,385640646055102;.\originalGrayDataset;0213.png
;1;9470,5;5,502206890553146;3,01833310258574;.\originalGrayDataset;0213.png
;2;1752,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0213.png
;0;9551,5;10,830448837816236;3,962496431726461;.\originalGrayDataset;0214.png
;1;4095,0;12,24700450767926;3,46844128946399;.\originalGrayDataset;0214.png
;2;822,5;4,0;1,632993161855452;.\originalGrayDataset;0214.png
;0;10304,5;6,62710136902179;3,20453232854804;.\originalGrayDataset;0216.png
;1;3788,0;7,617585251569659;3,086737839633284;.\originalGrayDataset;0216.png
;2;1988,5;4,155374705678736;1,905471133100374;.\originalGrayDataset;0216.png
;0;10334,5;3,829708431025352;1,885618083164127;.\originalGrayDataset;0217.png
;1;4412,0;4,155374705678736;1,905471133100374;.\originalGrayDataset;0217.png
;2;3810,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0217.png
;0;35353,5;2,0;2,0;.\originalGrayDataset;0223.png
;1;2510,5;9,492656281142244;8,426118722643936;.\originalGrayDataset;0223.png
;2;621,0;4,505936460652527;1,964637859424637;.\originalGrayDataset;0223.png
;0;35355,5;14,389359263077097;2,819168625713944;.\originalGrayDataset;0224.png
;1;4473,0;11,047895227491653;4,578832525309559;.\originalGrayDataset;0224.png
;2;2665,5;8,292589597939164;4,160831503759214;.\originalGrayDataset;0224.png
;0;14900,5;4,894994431930091;2,9693109114997;.\originalGrayDataset;0225.png
;1;12205,0;6,002855721531732;2,963452330827342;.\originalGrayDataset;0225.png
;2;5537,0;7,554371880072024;1,975317619716008;.\originalGrayDataset;0225.png
;0;20701,5;5,963268946242257;3,221366364225053;.\originalGrayDataset;0226.png
;1;14032,0;17,31314078347122;7,54334177941077;.\originalGrayDataset;0226.png
;2;5052,5;4,375345285424217;2,089630999709932;.\originalGrayDataset;0226.png
;0;19922,0;15,226571574961037;4,379845536598581;.\originalGrayDataset;0227.png
;1;15195,0;4,0;1,385640646055102;.\originalGrayDataset;0227.png
;2;6471,0;20,122329761895912;3,866218749974423;.\originalGrayDataset;0227.png
;0;14588,5;11,45248260615478;4,753902638154114;.\originalGrayDataset;0229.png
;1;13391,0;13,47368691384932;2,765941630114552;.\originalGrayDataset;0229.png
;2;6461,5;3,677088528342677;0,837402040213009;.\originalGrayDataset;0229.png
;0;15904,5;2,0;2,0;.\originalGrayDataset;0230.png
;1;10643,5;6,28259671550605;1,99643898824116;.\originalGrayDataset;0230.png
;2;6764,0;4,680205767201096;1,046744465787899;.\originalGrayDataset;0230.png
;0;8010,0;4,0;1,632993161855452;.\originalGrayDataset;0231.png
;1;1560,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0231.png
;2;967,0;11,08600638433013;3,941630196474698;.\originalGrayDataset;0231.png
;0;3880,5;5,163977794943222;2,222222222222223;.\originalGrayDataset;0234.png
;1;1794,5;10,718482797203972;4,767304033783907;.\originalGrayDataset;0234.png
;2;1604,5;17,36552673069059;9,378217328190258;.\originalGrayDataset;0234.png
;0;5334,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0235.png
;1;2250,5;9,00431839703119;4,394444116583409;.\originalGrayDataset;0235.png
